LNG,LAT
-0.1894761,51.4916595
-0.179336,51.4948837
-0.0774382,51.5527792
-0.213927,51.5073666
-0.1378663669,51.498337118
-0.1374694,51.4984707
-0.194812,51.496247
-0.1381961,51.5068003
-0.0682852,51.5069826
-0.1342972,51.5334551
-0.1368403,51.5131904
-0.1799414,51.4945154
-0.0838772,51.5371422
-0.1796161,51.4900231
-0.2343043,51.5077021
-0.1875145,51.5178692
-0.0505405,51.4986765
-0.161403,51.4865826
-0.1799334,51.4961609
-0.1652896,51.4898718
-0.1374694,51.4984707
-0.1374694,51.4984707
-0.1379629265,51.498220234
-0.1381184946,51.4984707
-0.1370402466,51.498337118
-0.2134005,51.5060906
-0.137303103,51.498649365
-0.1377215276,51.498787955
-0.1847692,51.5444983
-0.2073374,51.5056384
-0.1698072,51.4784949
-0.1020526,51.5082623
-0.0260564,51.4918012
-0.0609145,51.5465092
-0.1209899,51.5330808
-0.1967825,51.5094692
-0.050988,51.5378198
-0.1500196,51.5172928
-0.1809246,51.5157709
-0.1895808939,51.485881795
-0.1285385,51.4685272
-0.2123339,51.4976304
-0.1864626,51.4877372
-0.2054743,51.5130826
-0.1262782,51.5110348
-0.0813752,51.5253714
-0.1216982,51.5172743
-0.1292307,51.5197097
-0.199833,51.5103164
-0.192215,51.5028974
-0.1790545,51.4874875
-0.0974372,51.5443
-0.1845142,51.4976257
-0.1505019,51.5235322
-0.1653567,51.4946568
-0.1924856,51.5026138
-0.1087368,51.5278031
-0.1483343,51.5400082
-0.1945301,51.4887969
-0.1575552,51.4977089
-0.1567688,51.491132
-0.179053,51.559436
-0.192847,51.5113241
-0.1927663,51.494426
-0.203356,51.4795
-0.1358138,51.5164474
-0.1806387,51.4997958
-0.157092,51.5013346
-0.1672378,51.4940927
-0.213662,51.5189
-0.1060002,51.5388558
-0.191336,51.4735
-0.1418184,51.5130446
-0.19711,51.5189
-0.1617932,51.4980092
-0.2267827,51.5212002
-0.0997418,51.5312
-0.110405,51.505
-0.1734681,51.4859888
-0.1636675,51.4979756
-0.2043433,51.477698
-0.1755721,51.4877661
-0.1025277,51.5245735
-0.1476969,51.513794
-0.1666856,51.4899026
-0.1300307,51.5073808
-0.185623,51.4965
-0.153744,51.5187
-0.1435347,51.5229366
-0.1776255,51.4835895
-0.0824824,51.5014153
-0.23709,51.4523055
-0.1825145,51.5131248
-0.1775064,51.5151875
-0.1846004,51.4972674
-0.18970964,51.486088903
-0.0819007,51.5283026
-0.1672378,51.4940927
-0.2015063,51.4952707
-0.1392656,51.491512
-0.2066877,51.4718977
-0.1951517,51.4792564
-0.1951517,51.4792564
-0.1951517,51.4792564
-0.1694302,51.4785609
-0.1404984,51.5977865
-0.0181403,51.5012501
-0.1226497,51.5102574
-0.1952432,51.5145083
-0.2984884,51.4565759
-0.2737877,51.4897835
-0.1951517,51.4792564
-0.1378006,51.5232144
-0.1608277,51.4915734
-0.1868336,51.4849193
-0.1795862,51.4933049
-0.2081588,51.5408922
-0.1712151,51.4616203
-0.0123075,51.4869737
-0.2532413,51.4692013
-0.0958762,51.5606426
-0.1646436,51.4765437
-0.1886917,51.4921869
-0.1868189,51.4925537
-0.1537951,51.5130359
-0.1878153962,51.48666071
-0.199719,51.4916373
-0.1825242,51.5172255
-0.1712151,51.4616203
-0.1712151,51.4616203
-0.1712151,51.4616203
-0.2169876,51.5337437
-0.0656883,51.528486
2.350822,48.872027
-0.1911713,51.4962039
-0.1631661,51.4929145
